F = -1.000000 | I = 557 | calculated -0.000897
F = 1.000000 | I = 558 | calculated 0.000895
F = -1.000000 | I = 559 | calculated -0.000894
F = 1.000000 | I = 560 | calculated 0.000892
F = -1.000000 | I = 561 | calculated -0.000890
F = 1.000000 | I = 562 | calculated 0.000889
F = -1.000000 | I = 563 | calculated -0.000887
F = 1.000000 | I = 564 | calculated 0.000886
F = -1.000000 | I = 565 | calculated -0.000884
F = 1.000000 | I = 566 | calculated 0.000883
F = -1.000000 | I = 567 | calculated -0.000881
F = 1.000000 | I = 568 | calculated 0.000880
F = -1.000000 | I = 569 | calculated -0.000878
F = 1.000000 | I = 570 | calculated 0.000876
F = -1.000000 | I = 571 | calculated -0.000875
F = 1.000000 | I = 572 | calculated 0.000873
F = -1.000000 | I = 573 | calculated -0.000872
F = 1.000000 | I = 574 | calculated 0.000870
F = -1.000000 | I = 575 | calculated -0.000869
F = 1.000000 | I = 576 | calculated 0.000867
F = -1.000000 | I = 577 | calculated -0.000866
F = 1.000000 | I = 578 | calculated 0.000864
F = -1.000000 | I = 579 | calculated -0.000863
F = 1.000000 | I = 580 | calculated 0.000861
F = -1.000000 | I = 581 | calculated -0.000860
F = 1.000000 | I = 582 | calculated 0.000858
